Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,PSxG,PSxG/SoT,PSxG+/-,Launch%,AvgLen,Stp,Stp%,#OPA,#OPA/90,AvgDist,Cluster
Nick Pope,eng ENG,GK,Newcastle Utd,eng Premier League,32.0,1992.0,28,28,2520,28.0,35.0,1.25,120.0,86.0,71.7,13.0,6.0,9.0,8.0,28.6,1.0,1.0,0.0,34.8,0.28,1.8,25.7,30.7,39.0,10.9,64.0,2.29,16.0,2
Ivan Provedel,it ITA,GK,Lazio,it Serie A,30.0,1994.0,29,29,2610,29.0,42.0,1.45,92.0,52.0,58.7,15.0,6.0,8.0,5.0,17.2,4.0,0.0,0.0,31.5,0.32,-8.5,30.8,33.3,29.0,7.9,32.0,1.1,14.5,1
Ionuț Radu,ro ROU,GK,Venezia,it Serie A,27.0,1997.0,15,15,1350,15.0,18.0,1.2,65.0,47.0,76.9,2.0,7.0,6.0,4.0,26.7,3.0,0.0,0.0,19.2,0.26,1.2,47.7,40.2,13.0,6.0,3.0,0.2,9.1,0
Aaron Ramsdale,eng ENG,GK,Southampton,eng Premier League,26.0,1998.0,30,30,2700,30.0,66.0,2.2,188.0,120.0,67.6,2.0,5.0,23.0,3.0,10.0,5.0,2.0,0.0,63.5,0.32,-2.5,44.6,36.0,25.0,5.5,20.0,0.67,11.7,1
Federico Ravaglia,it ITA,GK,Bologna,it Serie A,24.0,1999.0,12,11,1056,11.7,14.0,1.19,24.0,10.0,45.8,5.0,2.0,4.0,4.0,36.4,1.0,0.0,0.0,11.7,0.46,-2.3,27.5,30.8,11.0,11.3,9.0,0.77,12.9,1
David Raya,es ESP,GK,Arsenal,eng Premier League,28.0,1995.0,38,38,3420,38.0,34.0,0.89,120.0,86.0,74.2,20.0,14.0,4.0,13.0,34.2,3.0,0.0,0.0,35.1,0.28,1.1,29.9,29.9,53.0,13.2,66.0,1.74,17.2,2
Pepe Reina,es ESP,GK,Como,it Serie A,41.0,1982.0,12,12,1034,11.5,14.0,1.22,41.0,27.0,68.3,3.0,4.0,5.0,2.0,16.7,1.0,0.0,0.0,12.1,0.28,-1.9,32.4,31.9,2.0,1.4,6.0,0.52,12.5,1
Álex Remiro,es ESP,GK,Real Sociedad,es La Liga,29.0,1995.0,36,36,3240,36.0,43.0,1.19,130.0,86.0,70.8,13.0,7.0,16.0,13.0,36.1,5.0,1.0,0.0,38.0,0.26,-5.0,31.4,32.6,29.0,6.5,40.0,1.11,14.4,2
Guillaume Restes,fr FRA,GK,Toulouse,fr Ligue 1,19.0,2005.0,29,29,2543,28.3,36.0,1.27,92.0,58.0,62.0,9.0,7.0,13.0,8.0,27.6,1.0,1.0,0.0,27.9,0.29,-5.1,30.8,30.3,5.0,1.4,34.0,1.2,16.9,1
Gerónimo Rulli,ar ARG,GK,Marseille,fr Ligue 1,32.0,1992.0,34,34,3060,34.0,47.0,1.38,135.0,87.0,67.4,20.0,5.0,9.0,5.0,14.7,3.0,3.0,0.0,47.5,0.33,2.5,15.0,24.4,28.0,9.1,59.0,1.74,18.3,2
Mathew Ryan,au AUS,GK,Lens,fr Ligue 1,32.0,1992.0,14,14,1260,14.0,17.0,1.21,62.0,44.0,75.8,8.0,1.0,5.0,6.0,42.9,2.0,1.0,0.0,19.5,0.28,2.5,31.3,32.3,20.0,11.4,10.0,0.71,11.6,2
Frederik Rønnow,dk DEN,GK,Union Berlin,de Bundesliga,31.0,1992.0,28,28,2520,28.0,37.0,1.32,111.0,71.0,67.6,8.0,11.0,9.0,8.0,28.6,1.0,4.0,0.0,39.3,0.32,3.3,36.6,34.3,40.0,8.3,35.0,1.25,13.4,0
José Sá,pt POR,GK,Wolves,eng Premier League,31.0,1993.0,29,29,2609,29.0,48.0,1.66,117.0,69.0,63.2,11.0,5.0,13.0,7.0,24.1,5.0,2.0,0.0,42.8,0.33,-3.2,39.3,35.2,32.0,7.4,43.0,1.48,15.5,1
Brice Samba,fr FRA,GK,Rennes,fr Ligue 1,30.0,1994.0,17,17,1529,17.0,27.0,1.59,87.0,58.0,70.1,7.0,0.0,10.0,5.0,29.4,1.0,2.0,0.0,29.2,0.32,2.2,24.4,29.7,16.0,7.1,15.0,0.88,13.2,2
Brice Samba,fr FRA,GK,Lens,fr Ligue 1,30.0,1994.0,15,15,1350,15.0,14.0,0.93,54.0,40.0,81.5,6.0,6.0,3.0,7.0,46.7,4.0,0.0,0.0,17.5,0.26,3.5,29.7,30.5,17.0,11.2,22.0,1.47,16.1,2
Robert Sánchez,es ESP,GK,Chelsea,eng Premier League,26.0,1997.0,32,32,2880,32.0,34.0,1.06,127.0,92.0,76.4,17.0,9.0,6.0,10.0,31.3,4.0,1.0,0.0,35.7,0.25,1.7,33.3,33.4,47.0,12.7,57.0,1.78,14.5,2
Razvan Sava,ro ROU,GK,Udinese,it Serie A,22.0,2002.0,12,12,1080,12.0,16.0,1.33,51.0,37.0,74.5,5.0,4.0,3.0,4.0,33.3,3.0,0.0,0.0,14.5,0.24,0.5,33.2,32.2,4.0,2.0,13.0,1.08,14.8,2
Simone Scuffet,it ITA,GK,Cagliari,it Serie A,28.0,1996.0,13,13,1170,13.0,23.0,1.77,56.0,33.0,67.9,3.0,3.0,7.0,1.0,7.7,5.0,0.0,0.0,20.4,0.28,-2.6,42.0,35.5,6.0,3.2,7.0,0.54,11.8,1
