id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,Comp,Group,Gls_p90,Ast_p90,npxG_p90,Sh_p90,xA_p90,KP_p90,xGChain_p90,xGBuildup_p90,npxG_per_Sh
8995,Hugo Ekitike,28,1835,11,11.932188130915163,4,2.49130567535758,65,21,0,0,F S,Liverpool,11,11.932188130915163,16.322998896241188,4.886437067762017,EPL,attack,0.5395095367847411,0.19618528610354224,0.5852299355762205,3.1880108991825615,0.12218937917285136,1.0299727520435968,0.8005830521317203,0.23966176354146132,0.1835721250910025
11974,Benjamin Sesko,30,1636,11,12.504127995111048,1,0.5977376587688923,61,9,2,0,F S,Manchester United,11,12.504127995111048,14.22715387493372,1.6295164097100496,EPL,attack,0.6051344743276283,0.0550122249388753,0.6878799019315369,3.3557457212713935,0.03288287853863099,0.4951100244498778,0.7826673892078452,0.08964332327255774,0.20498570483788603
13729,Zian Flemming,29,1795,11,9.554794699884951,0,0.6848367601633072,52,10,5,0,F S,Burnley,9,8.032457021065056,7.825265257619321,1.7185871880501509,EPL,attack,0.5515320334261838,0.0,0.402741577657858,2.607242339832869,0.03433721917253351,0.5013927576601671,0.39235313269400496,0.08616871694958975,0.15447032732817417
5596,Harry Wilson,36,2751,10,5.759745923802257,7,5.503671173006296,78,37,7,0,M S,Fulham,10,5.759745923802257,11.091712068766356,4.132661418989301,EPL,midfield,0.3271537622682661,0.22900763358778628,0.18843225486812182,2.5517993456924755,0.1800546730536411,1.2104689203925845,0.3628695333293246,0.13520157314032608,0.07384289645900328
7080,Matheus Cunha,33,2506,10,7.076101643964648,2,3.698060866445303,90,33,4,0,F M S,Manchester United,10,7.076101643964648,17.601462572813034,10.04429018124938,EPL,attack,0.3591380686352753,0.07182761372705507,0.25412974778803604,3.232242617717478,0.1328114437270859,1.1851556264964087,0.6321355273556157,0.3607286976506162,0.0786233515996072
8497,Cole Palmer,26,2007,10,10.257518742233517,1,2.123134629800916,64,24,5,0,F M S,Chelsea,5,5.69050582125783,16.862019807100296,10.53817812167108,EPL,attack,0.4484304932735426,0.04484304932735426,0.2551796332402614,2.8699551569506725,0.0952078309327765,1.0762331838565022,0.7561443859686232,0.47256404133054175,0.08891415345715359
11356,Enzo Fernández,36,3149,10,11.91719657368958,4,8.865934781730175,72,68,10,0,M S,Chelsea,8,10.394858876243234,27.90237918496132,16.159590516239405,EPL,midfield,0.2858050174658622,0.11432200698634487,0.297090282267987,2.0577961257542077,0.2533928645143588,1.9434741187678628,0.797463997029698,0.4618492049734984,0.1443730399478227
12412,Morgan Rogers,37,3301,10,7.145822267979384,6,7.475014166906476,84,48,7,0,F M,Aston Villa,10,7.145822267979384,18.204907912760973,7.18029835447669,EPL,attack,0.27264465313541353,0.1635867918812481,0.1948270233620553,2.2902150863374735,0.20380226447185182,1.308694335049985,0.496347080323686,0.19576699542650774,0.0850693127140403
1228,Bruno Fernandes,35,3082,9,11.931805820204318,21,17.75713463127613,85,137,5,0,M,Manchester United,5,7.364792761392891,25.94416971784085,11.6638073772192,EPL,midfield,0.2628163530175211,0.6132381570408825,0.2150653304754576,2.482154445165477,0.5185405959814574,4.00064892926671,0.7576168963678379,0.340604368575512,0.0866446207222693
1776,Jarrod Bowen,38,3416,9,8.273593910038471,11,8.43197707645595,79,44,4,0,F M,West Ham,8,7.512425065040588,14.380666948854923,3.877509349957109,EPL,attack,0.23711943793911006,0.2898126463700234,0.19792688988690074,2.0813817330210775,0.22215396278718838,1.1592505854800936,0.37888174045577955,0.10215920418505263,0.09509398816507074
2248,Casemiro,34,2649,9,6.577375870198011,2,3.177681438624859,52,36,9,1,M S,Manchester United,9,6.577375870198011,16.168739575892687,11.8755685351789,EPL,midfield,0.3057757644394111,0.06795016987542468,0.22346690385723708,1.766704416761042,0.10796199678227153,1.2231030577576445,0.5493343004267051,0.40347344966632726,0.1264879975038079
4105,Raúl Jiménez,36,2215,9,12.016586696729064,3,1.944130852818489,73,25,5,0,F S,Fulham,5,8.971911305561662,10.551293056458237,1.5579581297934055,EPL,attack,0.3656884875846501,0.1218961625282167,0.3645471862304964,2.966139954853273,0.07899403013709436,1.0158013544018059,0.4287207110976259,0.06330303913381784,0.12290289459673509
5675,Ismaila Sarr,28,2181,9,11.5433072373271,1,2.200463268905878,48,19,2,0,F M S,Crystal Palace,6,9.259800650179386,12.695851609110832,3.182719247415662,EPL,attack,0.37138927097661617,0.04126547455295736,0.38211006809543546,1.9807427785419534,0.09080316102775289,0.7840440165061898,0.5239003415038858,0.1313364201134386,0.19291251354540387
8327,Bruno Guimarães,29,2467,9,6.597308051772416,5,3.869310455396771,42,44,6,0,M S,Newcastle United,7,5.074970376677811,14.09811718389392,9.365775737911465,EPL,midfield,0.3283340089177138,0.18240778273206323,0.18514281876814065,1.5322253749493313,0.14115846817418298,1.6051884880421565,0.5143212592421779,0.34167807718363674,0.12083262801613837
9983,Beto,37,1552,9,10.947674445807934,1,1.0041863042861223,43,12,3,0,F S,Everton,9,10.947674445807934,12.09721666574478,0.9316300563514232,EPL,attack,0.5219072164948454,0.05798969072164949,0.6348522552337076,2.493556701030928,0.05823245321246843,0.6958762886597938,0.7015138530393236,0.054024938834811916,0.2545970801350682
8117,Nick Woltemade,33,1953,8,8.262036986649036,3,2.9012854490429163,32,22,0,0,F M S,Newcastle United,7,7.500868149101734,8.79227769561112,2.300962809473276,EPL,attack,0.3686635944700461,0.1382488479262673,0.34566212668671586,1.4746543778801844,0.13369979027847542,1.0138248847926268,0.4051740873553511,0.10603515251028924,0.2344021296594292
9156,Kevin Schade,35,2781,8,11.832689953967929,3,4.565257132053375,57,29,6,1,F M S,Brentford,8,11.071521116420628,17.37519696727395,3.947028372436762,EPL,attack,0.2588996763754045,0.09708737864077668,0.3583016542530948,1.8446601941747574,0.1477429492573908,0.9385113268608414,0.562304108973267,0.12773554603355217,0.19423721256878296
9739,Kiernan Dewsbury-Hall,31,2649,8,4.330071024596691,4,6.574528481811285,39,36,6,0,M S,Everton,8,4.330071024596691,14.27813035994768,8.12063055485487,EPL,midfield,0.2718006795016987,0.13590033975084936,0.14711453084699969,1.3250283125707814,0.2233701635949474,1.2231030577576445,0.4851006917309517,0.27589911284897634,0.11102746216914593
10746,Jaidon Anthony,37,2777,8,5.564454321749508,2,4.374400090426207,55,37,4,0,F M S,Burnley,8,5.564454321749508,12.432500068098308,5.833836998790503,EPL,attack,0.2592725963269716,0.0648181490817429,0.18033881489285408,1.7824990997479293,0.1417702586022177,1.1991357580122435,0.4029258214363874,0.18906925815309517,0.10117189675908198
11966,Noah Okafor,28,1592,8,6.296696716919541,1,2.259315438568592,35,19,3,0,F M S,Leeds,8,6.296696716919541,10.915966423228385,3.821857213973999,EPL,attack,0.45226130653266333,0.056532663316582916,0.35596903550424547,1.9786432160804022,0.12772511901455608,1.0741206030150754,0.6171086545794942,0.21605976712164568,0.17990562048341546
12916,Thierno Barry,38,1921,8,9.149327086284757,0,1.003938363865018,38,12,3,0,F S,Everton,8,9.149327086284757,10.248973826877773,2.152141290716827,EPL,attack,0.3748047891723061,0.0,0.4286514512054285,1.7803227485684539,0.04703511335130225,0.5622071837584591,0.48017055930192587,0.10082910784201687,0.24077176542854622
468,Callum Wilson,32,1229,7,7.60266119800508,1,1.0267592892050743,38,8,1,0,F M S,West Ham,7,7.60266119800508,6.896431270986795,0.6376099903136492,EPL,attack,0.5126118795768918,0.07323026851098453,0.5567449209279554,2.7827502034174127,0.07518985844463523,0.5858421480878763,0.5050275137419135,0.046692350795954775,0.20007003152644948
1250,Mohamed Salah,27,2163,7,8.837686643004417,7,6.428150682710111,67,49,1,0,F M S,Liverpool,6,8.076517805457115,17.373253114521503,6.297699823975563,EPL,attack,0.29126213592233013,0.29126213592233013,0.3360548324045956,2.7877947295423025,0.26746812826810445,2.0388349514563107,0.7228815442935439,0.26204021458982923,0.12054504187249426
6055,Phil Foden,33,2083,7,6.688582047820091,5,6.107132508419454,55,53,4,0,F M S,Manchester City,7,6.688582047820091,19.91397963277996,11.249179357662795,EPL,attack,0.30244839174267885,0.2160345655304849,0.28899298334316287,2.3763802208353337,0.26387034361869943,2.2899663946231397,0.8604215875901087,0.4860423150214362,0.12161058268763802
