Player,Squad,Comp,PrimaryPos,SecondaryPos,Group,Style,Gls,Ast,Min,MP,Gls_p90,npxG_p90,Sh_p90,SoT%,G/Sh,xAG_p90,SCA90,PrgC_p90,Succ%,Att Pen_p90,CrsPA_p90,PrgR_p90,PrgP_p90,Cmp%,KP_p90,Tkl_p90,Int_p90,Tkl+Int_p90,TotDist_p90,1/3_p90,Clr_p90,Blocks_p90,Att 3rd_p90,Tkl%,Won%,GA,Saves,CS,Save%,PSxG+/-,Stp%,#OPA/90,AvgDist,Launch%,AvgLen,CS%
Ange-Yoan Bonny,Parma,it Serie A,FW,,attack,Squad Forward,6.0,4.0,2529,37,0.2135231316725978,0.2526690391459074,2.170818505338078,31.1,0.07,0.1032028469750889,2.39,1.4590747330960856,49.3,3.98576512455516,0.0711743772241993,5.800711743772242,,,,,,,,,,,,,,,,,,,,,,,,
Jarrod Bowen,West Ham,eng Premier League,FW,MF,attack,All-Around Forward,13.0,8.0,2973,34,0.3935418768920282,0.2361251261352169,2.60343087790111,41.9,0.14,0.2058526740665994,3.42,3.299697275479314,33.8,5.176589303733603,0.2421796165489404,6.417759838546922,,,,,,,,,,,,,,,,,,,,,,,,
David Brooks,Bournemouth,eng Premier League,FW,MF,attack,All-Around Forward,2.0,0.0,960,29,0.1875,0.234375,2.34375,48.0,0.08,0.1781249999999999,4.31,3.28125,32.4,3.65625,0.5625,7.78125,,,,,,,,,,,,,,,,,,,,,,,,
Moritz Broschinski,Bochum,de Bundesliga,FW,MF,attack,Squad Forward,1.0,3.0,1390,33,0.0647482014388489,0.2719424460431655,2.460431654676259,28.9,0.03,0.116546762589928,2.33,2.39568345323741,26.4,4.402877697841727,0.2589928057553957,8.41726618705036,,,,,,,,,,,,,,,,,,,,,,,,
Ante Budimir,Osasuna,es La Liga,FW,,attack,Target Forward,21.0,4.0,2952,38,0.6402439024390244,0.375,2.774390243902439,31.9,0.14,0.0518292682926829,1.4,0.7012195121951219,23.3,5.182926829268292,0.0,4.085365853658536,,,,,,,,,,,,,,,,,,,,,,,,
Marius Bülter,Hoffenheim,de Bundesliga,FW,DF,attack,All-Around Forward,7.0,2.0,1729,25,0.3643724696356275,0.1925968768074031,1.925968768074032,40.5,0.19,0.161364950838635,2.5,2.967032967032967,51.1,4.320416425679584,0.6246385193753615,8.068247541931752,,,,,,,,,,,,,,,,,,,,,,,,
Facundo Buonanotte,Leicester City,eng Premier League,FW,MF,attack,Squad Forward,5.0,2.0,1523,31,0.2954694681549573,0.2304661851608667,2.1273801707156927,33.3,0.14,0.1831910702560735,3.01,2.304661851608667,33.7,2.304661851608667,0.1181877872619829,4.372948128693368,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Burkardt,Mainz 05,de Bundesliga,FW,,attack,Poacher,18.0,2.0,2109,29,0.7681365576102419,0.5633001422475106,2.987197724039829,40.0,0.23,0.1322901849217638,2.31,1.3655761024182076,41.0,5.163584637268848,0.1706970128022759,6.699857752489331,,,,,,,,,,,,,,,,,,,,,,,,
Oliver Burke,Werder Bremen,de Bundesliga,FW,,attack,Poacher,5.0,0.0,908,25,0.4955947136563877,0.4063876651982378,3.4691629955947136,34.3,0.14,0.1685022026431717,3.27,2.180616740088106,58.3,7.830396475770924,0.2973568281938326,8.722466960352424,,,,,,,,,,,,,,,,,,,,,,,,
Wes Burns,Ipswich Town,eng Premier League,FW,DF,attack,Squad Forward,0.0,1.0,926,18,0.0,0.0485961123110151,0.6803455723542117,14.3,0.0,0.1555075593952484,1.55,3.6933045356371488,37.5,1.7494600431965444,0.6803455723542117,6.317494600431965,,,,,,,,,,,,,,,,,,,,,,,,
Rémy Cabella,Lille,fr Ligue 1,FW,MF,attack,All-Around Forward,1.0,2.0,1011,23,0.0890207715133531,0.3560830860534124,2.6706231454005938,23.3,0.03,0.2047477744807121,5.33,4.005934718100891,50.0,4.540059347181009,0.7121661721068249,11.572700296735905,,,,,,,,,,,,,,,,,,,,,,,,
Dominic Calvert-Lewin,Everton,eng Premier League,FW,,attack,Target Forward,3.0,1.0,1609,26,0.1678060907395898,0.3747669359850839,2.7967681789931635,38.0,0.06,0.0335612181479179,1.46,1.2865133623368552,40.0,4.922311995027967,0.0559353635798632,6.264760720944686,,,,,,,,,,,,,,,,,,,,,,,,
Sergio Camello,Rayo Vallecano,es La Liga,FW,,attack,Squad Forward,3.0,2.0,1134,23,0.238095238095238,0.3253968253968253,2.5396825396825395,28.1,0.09,0.1587301587301587,3.02,1.5873015873015872,56.5,3.65079365079365,0.0,5.396825396825396,,,,,,,,,,,,,,,,,,,,,,,,
Matteo Cancellieri,Parma,it Serie A,FW,MF,attack,Squad Forward,3.0,0.0,1424,27,0.1896067415730337,0.1706460674157303,1.3904494382022472,31.8,0.14,0.0442415730337078,1.71,2.528089887640449,40.0,2.528089887640449,0.3160112359550561,4.992977528089887,,,,,,,,,,,,,,,,,,,,,,,,
Irvin Cardona,Saint-Étienne,fr Ligue 1,FW,,attack,Target Forward,5.0,3.0,1063,15,0.4233301975540922,0.3132643461900282,1.947318908748824,43.5,0.22,0.1185324553151458,2.31,2.539981185324553,27.3,4.487300094073377,0.2539981185324553,11.429915333960489,,,,,,,,,,,,,,,,,,,,,,,,
Josué Casimir,Le Havre,fr Ligue 1,FW,MF,attack,Squad Forward,4.0,4.0,1997,27,0.1802704056084126,0.1487230846269404,1.2168252378567852,33.3,0.15,0.1532298447671507,2.7,3.199799699549324,45.8,3.42513770655984,0.3154732098147221,6.805207811717577,,,,,,,,,,,,,,,,,,,,,,,,
Valentín Castellanos,Lazio,it Serie A,FW,,attack,Poacher,10.0,3.0,2384,29,0.3775167785234899,0.4265939597315437,3.963926174496644,34.3,0.08,0.1359060402684563,2.76,1.0192953020134228,43.2,5.851510067114094,0.0755033557046979,5.625,,,,,,,,,,,,,,,,,,,,,,,,
Santiago Castro,Bologna,it Serie A,FW,,attack,Target Forward,8.0,4.0,2294,36,0.3138622493461203,0.2707061900610288,2.4324324324324325,32.3,0.13,0.1137750653879686,2.71,0.6669572798605057,41.9,3.962510897994769,0.0,5.335658238884045,,,,,,,,,,,,,,,,,,,,,,,,
Rayan Cherki,Lyon,fr Ligue 1,FW,MF,attack,Elite Dual-Threat Forward,8.0,11.0,2041,30,0.3527682508574228,0.2204801567858892,1.9843214110730032,42.2,0.18,0.4894659480646741,6.44,4.674179323860852,49.5,5.820676139147476,0.1322880940715335,8.113669769720724,,,,,,,,,,,,,,,,,,,,,,,,
