id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,Comp
13920,Daniel Elfadli,21,1257,0,0.6049705110490322,0,0.17046347633004189,4,2,4,1,D S,Hamburger SV,0,0.6049705110490322,1.874638892710209,1.6594158932566643,Bundesliga
13921,Giorgi Gocholeishvili,24,909,0,0.9827461671084166,1,0.6386436335742474,14,9,1,1,D S,Hamburger SV,0,0.9827461671084166,3.0658979546278715,1.6764663234353065,Bundesliga
13922,Miro Muheim,29,2443,0,1.3705227468162775,4,3.492499830201268,24,40,7,1,D M S,Hamburger SV,0,1.3705227468162775,6.304988786578178,4.909944733604789,Bundesliga
13924,Emir Sahiti,2,124,0,0,0,0.013570391573011875,0,1,0,0,F,Hamburger SV,0,0,0.013570391573011875,0,Bundesliga
13926,Alexander Røssing-Lelesiit,11,319,0,0.08903256431221962,1,0.7265190482139587,2,5,1,1,F M S,Hamburger SV,0,0.08903256431221962,0.8746454827487469,0.05909386835992336,Bundesliga
13927,Aboubaka Soumahoro,4,140,0,0,0,0.020567389205098152,0,1,1,0,D S,Hamburger SV,0,0,0.0691862553358078,0.0691862553358078,Bundesliga
13928,Otto Stange,10,275,0,0.6612029634416103,0,0.10392893105745316,9,1,0,0,F S,Hamburger SV,0,0.6612029634416103,0.7412202656269073,0.15971136465668678,Bundesliga
13972,Andrija Maksimovic,8,77,0,0.0663988795131445,0,0.3666895739734173,2,3,0,0,S,RasenBallsport Leipzig,0,0.0663988795131445,0.42848074436187744,0.40251037664711475,Bundesliga
13981,Aiman Dardari,3,21,0,0.05606662854552269,0,0,1,0,1,0,S,Augsburg,0,0.05606662854552269,0.05606662854552269,0,Bundesliga
13995,Sota Kawasaki,10,295,0,0.04572444409132004,0,0,1,0,1,0,D M S,Mainz 05,0,0.04572444409132004,0.22899293899536133,0.1832684949040413,Bundesliga
14008,Ezequiél Fernández,20,1009,0,0.534800324589014,1,0.7951555736362934,11,8,2,1,M S,Bayer Leverkusen,0,0.534800324589014,7.9508191123604774,7.362088220193982,Bundesliga
14022,William Bøving,9,206,0,0.01329879555851221,1,0.5447267256677151,1,4,1,0,M S,Mainz 05,0,0.01329879555851221,0.37258195877075195,0.37258195877075195,Bundesliga
14071,Cassiano Kiala,1,1,0,0,0,0,0,0,0,0,S,Bayern Munich,0,0,0.4981572926044464,0.4981572926044464,Bundesliga
14096,Tobias Weigel,1,1,0,0,0,0,0,0,0,0,S,FC Heidenheim,0,0,0.03532744571566582,0.03532744571566582,Bundesliga
14109,Dmytro Bogdanov,2,2,0,0.5116710662841797,0,0,3,0,0,0,S,Union Berlin,0,0.5116710662841797,0.44151416420936584,0,Bundesliga
14121,Jan Urbich,3,28,0,0,0,0.027196358889341354,0,1,0,0,S,Borussia M.Gladbach,0,0,0.13196995854377747,0.10477359592914581,Bundesliga
14130,David Santos,2,25,0,0.030350076034665108,0,0,1,0,0,0,S,Bayern Munich,0,0.030350076034665108,1.1598855257034302,1.1598855257034302,Bundesliga
14164,Fabio Moreno Fell,2,80,0,0.051751505583524704,0,0,1,0,0,0,F S,Mainz 05,0,0.051751505583524704,0,0,Bundesliga
14174,Pharell Hensel,5,68,0,0.018602386116981506,0,0,1,0,0,0,M S,Wolfsburg,0,0.018602386116981506,0.018602386116981506,0,Bundesliga
14223,Samba Konate,1,1,0,0.0413617305457592,0,0,1,0,0,0,S,RasenBallsport Leipzig,0,0.0413617305457592,0,0,Bundesliga
14237,Cenny Neumann,2,74,0,0,0,0,0,0,0,0,D S,FC Cologne,0,0,0.8872855305671692,0.8872855305671692,Bundesliga
14252,Tim Schnitzer,1,1,0,0,0,0,0,0,0,0,S,Augsburg,0,0,0,0,Bundesliga
14253,Fynn Schenten,7,86,0,0.030162783339619637,0,0.36186322569847107,1,1,0,0,F S,FC Cologne,0,0.030162783339619637,0.3920260090380907,0.36186322569847107,Bundesliga
14267,Felipe Chávez,9,88,0,0.2693987935781479,0,0.11142665147781372,6,1,0,0,S,"Bayern Munich,FC Cologne",0,0.2693987935781479,0.5579832904040813,0.3327908180654049,Bundesliga
14269,Deniz Ofli,1,2,0,0,0,0,0,0,0,0,S,Bayern Munich,0,0,0,0,Bundesliga
14279,Kota Takai,8,329,0,0.4108753725886345,0,0.03324531391263008,3,2,1,0,D S,Borussia M.Gladbach,0,0.4108753725886345,1.190738558769226,0.8015755638480186,Bundesliga
14337,Youssoupha Niang,10,179,0,0.3172231260687113,0,0.183741956949234,5,3,0,0,M S,FC Cologne,0,0.3172231260687113,0.5464278757572174,0.06479304283857346,Bundesliga
